TrialDate,TrialDateRE,TimeTrialStart,Trial,BugNumber,COMBO,ComboOrientation,OutsideTemperature,OutsideHumidity,DaysKBstarved,ColonyORpositiveBugNumber,Species,LifeStage,KBsex,Engorgement,TcruziStatus,qPCRconfirmed,cultureConfirmed,DogWeightkg,DogHeightcm,ChickenWeightkg,ChickenHeightcm,HumanWeightkg,HumanHeightcm,LeftHostMINtemp,LeftHost MAXtemp MAX,LeftHostAVGtemp,LeftHostMMINHumidity,LeftHostMAXHumidity,LeftHostAVGHumidity,RightHostMINtemp,RightHostMAXtemp,RightHostAVGtemp,RightHostMINHumidity,RightHostMAXhumidity,RightHostAVGhumidity,AverageDogTemp,AverageDogHumidity,AverageDogCO2,AverageChickenTemp,AverageChickenHumidity,AverageChickenCO2,AverageHumanTemp,AverageHumanHumidity,AverageHumanCO2,AverageRoomTemp,AverageRoomHumidity,Participate,Outcome,dog,chicken,human,empty,NoChoice,NeverLeft,OutcomeNumeric,L0R1,VIDEODurationBeforeBugDropped,VIDEOtrialLength,VIDEOdurationUntilKBleftStartingPoint,KBParticipatingsec,KBactivesec,VIDEOdurationTimeBugInOlfactommmeter,VIDEOchoiceLR,TimeSpentNearDog,TimeSpentNearChicken,TimeSpentNearHuman,TimeSpentNearEmpty,TimeSpentOutcome,TimeSpentMost,VIDEOdurationLEFTsec,VIDEOdurationRIGHTsec,VIDEOdurationBOTHsec,VIDEOdurationLEFTmin,VIDEOdurationRIGHTmin,VIDEOdurationBOTHmin,VIDEOkbOnBothSidesY1N0,VIDEOporportionNearDOG,VIDEOporportionNearCHICKEN,VIDEOporportionNearHUMAN,VIDEOporportionNearEMPTY,VIDEOporportionNearEMPTYleft,VIDEOporportionNearEMPTYright,VIDEOmoreThan50nearDOG,VIDEOmoreThan50nearCHICKEN,VIDEOmoreThan50nearHUMAN,VIDEOmoreThan50nearEMPTY,VIDEOmorethan50nearEMPTYleft,VIDEOmoreThan50nearEMPTYright
211026,10/26/21,NA,A,1,E vs E,E vs E,82,76,27,144,T. gerstaeckeri,5,NA,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.3875,82.5875,0,Never left,NA,NA,NA,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211026,10/26/21,NA,B,2,E vs E,E vs E,86,63,27,144,T. gerstaeckeri,5,NA,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.575,65.55,0,Never left,NA,NA,NA,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211026,10/26/21,NA,C,3,E vs E,E vs E,84,64,27,144,T. gerstaeckeri,5,NA,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.08,72.88,1,Empty,NA,NA,NA,1,0,0,3,0,0:00:00,1:00:00,0:25:22,1522,1536,0:25:36,L,NA,NA,NA,15.74,Empty,Empty,15.74,0,15.74,0:00:15,0:00:00,0:00:15,0,NA,NA,NA,NA,100,0,NA,NA,NA,NA,1,0
211026,10/26/21,NA,D,4,E vs E,E vs E,82,68,27,144,T. gerstaeckeri,5,NA,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.95,72.8875,0,Never left,NA,NA,NA,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211026,10/26/21,NA,E,5,E vs E,E vs E,81,75,27,144,T. gerstaeckeri,5,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.9,73.1375,0,Never left,NA,NA,NA,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211027,10/27/21,NA,9,6,E vs C,E vs C,72,64,28,144,T. gerstaeckeri,5,NA,0,0,0,0,NA,NA,1.61,45.72,NA,NA,23.3,24.2,23.75,50,59,54.5,23.1,24.89,23.995,60,62,61,NA,NA,NA,23.995,54.5,436.4385714,NA,NA,NA,25.15,59.2875,1,Chicken,NA,1,NA,0,0,0,4,1,0:05:50,1:00:00,0:18:38,1118,3248,0:54:08,R,NA,294.31,NA,67.55,Both,Chicken,67.55,294.31,361.86,0:01:07,0:04:54,0:06:01,1,NA,81.33367824,NA,18.66632176,NA,NA,NA,1,NA,0,NA,NA
211027,10/27/21,2:52:00 PM,11,7,E vs C,C vs E,79,28,28,144,T. gerstaeckeri,5,NA,0,0,0,0,NA,NA,1.61,45.72,NA,NA,24,24.4,24.2,39,41,40,47,52,49.5,22.1,22.6,22.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.6625,45.0375,0,Never left,NA,0,NA,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211029,10/29/21,3:13:00 PM,27,8,E vs C,E vs C,73,22,30,144,T. gerstaeckeri,5,NA,1,0,0,0,NA,NA,1.61,45.72,NA,NA,23.5,23.8,23.65,25,28,26.5,21.5,22.5,22,33,34,33.5,NA,NA,NA,22,26.5,573.3333333,NA,NA,NA,24.375,25.675,1,Chicken,NA,1,NA,0,0,0,4,1,0:04:43,1:00:00,0:09:42,582,1032,0:17:12,R,NA,75.78,NA,0,Chicken,Chicken,0,75.78,75.78,0:00:00,0:01:15,0:01:15,0,NA,100,NA,0,NA,NA,NA,1,NA,0,NA,NA
211029,10/29/21,4:33:00 PM,37,9,E vs C,C vs E,73,20,30,144,T. gerstaeckeri,5,NA,1,0,0,0,NA,NA,1.61,45.72,NA,NA,23.8,24.1,23.95,24,25,24.5,21.8,22.6,22.2,31,32,31.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.07142857,22.25714286,0,Never left,NA,0,NA,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211029,10/29/21,6:21:00 PM,38,10,E vs C,C vs E,72,20,30,144,T. gerstaeckeri,5,NA,1,0,0,0,NA,NA,1.61,45.72,NA,NA,23.6,23.9,23.75,23,23,23,22.2,22.5,22.35,29,31,30,NA,NA,NA,23.75,23,431,NA,NA,NA,24.61666667,21.11666667,1,Chicken,NA,1,NA,0,0,0,4,0,0:06:50,1:00:00,0:33:07,1987,2041,0:34:01,L,NA,55.41,NA,0,Chicken,Chicken,55.41,0,55.41,0:00:55,0:00:00,0:00:55,0,NA,100,NA,0,NA,NA,NA,1,NA,0,NA,NA
