AverageTemp,AverageHumidity,AverageCO2,HostType,Outcome
NA,NA,NA,Dog,Never left
NA,NA,NA,Dog,Never left
NA,NA,NA,Dog,Empty
NA,NA,NA,Dog,Never left
NA,NA,NA,Dog,Never left
NA,NA,NA,Dog,Chicken
NA,NA,NA,Dog,Never left
NA,NA,NA,Dog,Chicken
NA,NA,NA,Dog,Never left
NA,NA,NA,Dog,Chicken
23.55,40.5,564.6666667,Dog,Empty
23.2,59.5,478,Dog,Dog
60,22.35,451.3333333,Dog,Empty
24.1,50.5,442,Dog,Dog
NA,NA,NA,Dog,Never left
NA,NA,NA,Dog,Human
22.15,24.9,417.5,Dog,Human
NA,NA,NA,Dog,Chicken
NA,NA,NA,Dog,Never left
NA,NA,NA,Dog,Never left
NA,NA,NA,Dog,Chicken
22.4,60,432.3333333,Dog,Chicken
NA,NA,NA,Dog,Never left
NA,NA,NA,Dog,Chicken
NA,NA,NA,Dog,No choice
NA,NA,NA,Dog,Never left
NA,NA,NA,Dog,No choice
NA,NA,NA,Dog,Never left
NA,NA,NA,Dog,Never left
NA,NA,NA,Dog,Empty
NA,NA,NA,Dog,Never left
NA,NA,NA,Dog,Never left
NA,NA,NA,Dog,Never left
NA,NA,NA,Dog,Never left
NA,NA,NA,Dog,Never left
25.55,78,455,Dog,No choice
14.55,67.5,492,Dog,Dog
NA,NA,NA,Dog,Never left
NA,NA,NA,Dog,Never left
NA,NA,NA,Dog,Human
NA,NA,NA,Dog,Never left
23.05,52.5,434.25,Dog,Dog
NA,NA,NA,Dog,Never left
21.3,85,443,Dog,Empty
NA,NA,NA,Dog,Never left
NA,NA,NA,Dog,Never left
NA,NA,NA,Dog,Never left
NA,NA,NA,Dog,Never left
NA,NA,NA,Dog,No choice
20.3,84,440.6666667,Dog,Dog
NA,NA,NA,Dog,Never left
NA,NA,NA,Dog,Never left
48.4,75,908.5,Dog,Chicken
NA,NA,NA,Dog,Never left
28.65,65,1477.5,Dog,Dog
NA,NA,NA,Dog,Never left
NA,NA,NA,Dog,Never left
NA,NA,NA,Dog,Chicken
NA,NA,NA,Dog,Empty
NA,NA,NA,Dog,Never left
NA,NA,NA,Dog,Never left
NA,NA,NA,Dog,Never left
NA,NA,NA,Dog,Never left
NA,NA,NA,Dog,Never left
23.05,56,1248.333333,Dog,Dog
NA,NA,NA,Dog,Never left
23.5,58,1202.5,Dog,Dog
21.25,65,1127,Dog,Dog
NA,NA,NA,Dog,Never left
NA,NA,NA,Dog,Never left
NA,NA,NA,Dog,Empty
NA,NA,NA,Dog,Never left
NA,NA,NA,Dog,Never left
NA,NA,NA,Dog,Never left
NA,NA,NA,Dog,Empty
NA,NA,NA,Dog,Never left
NA,NA,NA,Dog,Human
NA,NA,NA,Dog,Human
NA,NA,NA,Dog,Never left
NA,NA,NA,Dog,Never left
NA,NA,NA,Dog,Never left
NA,NA,NA,Dog,Never left
24.8,73.5,1140,Dog,Dog
24.35,44,1222.5,Dog,Dog
24,45,940.8,Dog,Dog
NA,NA,NA,Dog,Human
NA,NA,NA,Dog,Empty
NA,NA,NA,Dog,Human
NA,NA,NA,Dog,Never left
NA,NA,NA,Dog,No choice
NA,NA,NA,Dog,Never left
22.75,73,2201.666667,Dog,Dog
24.55,46,1992.5,Dog,Dog
NA,NA,NA,Dog,Human
NA,NA,NA,Dog,chicken
