TrialDate,TrialDateRE,TimeTrialStart,Trial,BugNumber,COMBO,ComboOrientation,OutsideTemperature,OutsideHumidity,DaysKBstarved,ColonyORpositiveBugNumber,Species,LifeStage,KBsex,Engorgement,TcruziStatus,qPCRconfirmed,cultureConfirmed,DogWeightkg,DogHeightcm,ChickenWeightkg,ChickenHeightcm,HumanWeightkg,HumanHeightcm,LeftHostMINtemp,LeftHost MAXtemp MAX,LeftHostAVGtemp,LeftHostMMINHumidity,LeftHostMAXHumidity,LeftHostAVGHumidity,RightHostMINtemp,RightHostMAXtemp,RightHostAVGtemp,RightHostMINHumidity,RightHostMAXhumidity,RightHostAVGhumidity,AverageDogTemp,AverageDogHumidity,AverageDogCO2,AverageChickenTemp,AverageChickenHumidity,AverageChickenCO2,AverageHumanTemp,AverageHumanHumidity,AverageHumanCO2,AverageRoomTemp,AverageRoomHumidity,Participate,Outcome,dog,chicken,human,empty,NoChoice,NeverLeft,OutcomeNumeric,L0R1,VIDEODurationBeforeBugDropped,VIDEOtrialLength,VIDEOdurationUntilKBleftStartingPoint,KBParticipatingsec,KBactivesec,VIDEOdurationTimeBugInOlfactommmeter,VIDEOchoiceLR,TimeSpentNearDog,TimeSpentNearChicken,TimeSpentNearHuman,TimeSpentNearEmpty,TimeSpentOutcome,TimeSpentMost,VIDEOdurationLEFTsec,VIDEOdurationRIGHTsec,VIDEOdurationBOTHsec,VIDEOdurationLEFTmin,VIDEOdurationRIGHTmin,VIDEOdurationBOTHmin,VIDEOkbOnBothSidesY1N0,VIDEOporportionNearDOG,VIDEOporportionNearCHICKEN,VIDEOporportionNearHUMAN,VIDEOporportionNearEMPTY,VIDEOporportionNearEMPTYleft,VIDEOporportionNearEMPTYright,VIDEOmoreThan50nearDOG,VIDEOmoreThan50nearCHICKEN,VIDEOmoreThan50nearHUMAN,VIDEOmoreThan50nearEMPTY,VIDEOmorethan50nearEMPTYleft,VIDEOmoreThan50nearEMPTYright
211027,10/27/21,NA,9,6,E vs C,E vs C,72,64,28,144,T. gerstaeckeri,5,NA,0,0,0,0,NA,NA,1.61,45.72,NA,NA,23.3,24.2,23.75,50,59,54.5,23.1,24.89,23.995,60,62,61,NA,NA,NA,23.995,54.5,436.4385714,NA,NA,NA,25.15,59.2875,1,Chicken,NA,1,NA,0,0,0,4,1,0:05:50,1:00:00,0:18:38,1118,3248,0:54:08,R,NA,294.31,NA,67.55,Both,Chicken,67.55,294.31,361.86,0:01:07,0:04:54,0:06:01,1,NA,81.33367824,NA,18.66632176,NA,NA,NA,1,NA,0,NA,NA
211029,10/29/21,3:13:00 PM,27,8,E vs C,E vs C,73,22,30,144,T. gerstaeckeri,5,NA,1,0,0,0,NA,NA,1.61,45.72,NA,NA,23.5,23.8,23.65,25,28,26.5,21.5,22.5,22,33,34,33.5,NA,NA,NA,22,26.5,573.3333333,NA,NA,NA,24.375,25.675,1,Chicken,NA,1,NA,0,0,0,4,1,0:04:43,1:00:00,0:09:42,582,1032,0:17:12,R,NA,75.78,NA,0,Chicken,Chicken,0,75.78,75.78,0:00:00,0:01:15,0:01:15,0,NA,100,NA,0,NA,NA,NA,1,NA,0,NA,NA
211029,10/29/21,6:21:00 PM,38,10,E vs C,C vs E,72,20,30,144,T. gerstaeckeri,5,NA,1,0,0,0,NA,NA,1.61,45.72,NA,NA,23.6,23.9,23.75,23,23,23,22.2,22.5,22.35,29,31,30,NA,NA,NA,23.75,23,431,NA,NA,NA,24.61666667,21.11666667,1,Chicken,NA,1,NA,0,0,0,4,0,0:06:50,1:00:00,0:33:07,1987,2041,0:34:01,L,NA,55.41,NA,0,Chicken,Chicken,55.41,0,55.41,0:00:55,0:00:00,0:00:55,0,NA,100,NA,0,NA,NA,NA,1,NA,0,NA,NA
211105,11/5/21,5:39:00 PM,14,12,E vs D,E vs D,63,43,NA,144,T. gerstaeckeri,5,NA,1,0,0,0,147.735,63.5,NA,NA,NA,NA,23.8,24,23.9,31,32,31.5,23,24.1,23.55,38,43,40.5,23.55,40.5,564.6666667,NA,NA,NA,NA,NA,NA,24.55,33.8,1,Empty,0,NA,NA,1,0,0,3,0,0:06:42,1:00:00,0:07:14,434,464,0:07:44,L,0,NA,NA,29.65,Empty,Empty,29.65,0,29.65,0:00:29,0:00:00,0:00:29,0,0,NA,NA,100,NA,NA,0,NA,NA,0,NA,NA
211115,11/5/21,6:30:00 PM,22,13,E vs D,E vs D,73,62,37,144,T. gerstaeckeri,5,NA,1,0,0,0,147.735,63.5,NA,NA,NA,NA,24.2,24.3,24.25,51,51,51,23,23.4,23.2,59,60,59.5,23.2,59.5,478,NA,NA,NA,NA,NA,NA,138.2,58.1,1,Dog,1,NA,NA,0,0,0,5,1,0:06:05,1:00:00,0:05:42,342,723,0:12:03,R,77.09,NA,NA,0,Dog,Dog,0,77.09,77.09,0:00:00,0:01:17,0:01:17,0,100,NA,NA,0,NA,NA,1,NA,NA,0,NA,NA
211115,11/5/21,7:38:00 PM,23,14,E vs D,E vs D,NA,NA,37,144,T. gerstaeckeri,5,NA,1,0,0,0,147.735,63.5,NA,NA,NA,NA,23.8,23.8,23.8,52,53,52.5,59,61,60,22.1,22.6,22.35,60,22.35,451.3333333,NA,NA,NA,NA,NA,NA,144.65,44.3525,1,Empty,0,NA,NA,1,0,0,3,0,0:05:36,1:00:00,0:10:18,618,662,0:11:02,L,0,NA,NA,32.57,Empty,Empty,32.57,0,32.57,0:00:32,0:00:00,0:00:32,0,0,NA,NA,100,NA,NA,0,NA,NA,100,NA,NA
211115,11/5/21,8:35:00 PM,24,15,E vs D,D vs E,72,67,37,144,T. gerstaeckeri,5,NA,0,0,0,0,147.735,63.5,NA,NA,NA,NA,23.7,24.5,24.1,50,51,50.5,22.1,22.3,22.2,59,60,59.5,24.1,50.5,442,NA,NA,NA,NA,NA,NA,24.875,56.075,1,Dog,1,NA,NA,0,0,0,5,0,0:07:41,1:00:00,0:03:24,204,233,0:03:53,L,27.3,NA,NA,0,Dog,Dog,27.3,0,27.3,0:00:27,0:00:00,0:00:27,0,100,NA,NA,0,NA,NA,1,NA,NA,0,NA,NA
220126,1/26/22,1:55:00 PM,3,17,E vs H,H vs E,53,30,119,144,T. gerstaeckeri,5,NA,0,0,0,0,NA,NA,NA,NA,113.3786848,175.26,17.8,23.5,20.65,27,28,27.5,14.3,17.6,15.95,38,40,39,NA,NA,NA,NA,NA,NA,20.65,27.5,421.2,19.56666667,30.71666667,1,Human,NA,NA,1,0,0,0,6,0,0:05:33,1:00:00,0:15:24,924,1519,0:25:19,L,NA,NA,325.44,0,Human,Human,325.44,0,325.44,0:05:25,0:00:00,0:05:25,0,NA,NA,100,0,NA,NA,NA,NA,1,0,NA,NA
220126,1/26/22,3:22:00 PM,4,18,D vs H,D vs H,56,37,24,117,T. gerstaeckeri,5,NA,0,0,0,0,147.735,63.5,NA,NA,113.3786848,175.26,18.3,26,22.15,22.8,27,24.9,17.2,35,26.1,23.1,40,31.55,22.15,24.9,417.5,NA,NA,NA,26.1,31.55,418.5,20.81666667,29.53333333,1,Human,0,NA,1,NA,0,0,6,1,0:07:55,1:00:00,0:38:47,2327,2369,0:39:29,R,0,NA,45.26,NA,Human,Human,0,45.26,45.26,0:00:00,0:00:45,0:00:45,0,0,NA,100,NA,NA,NA,0,NA,1,NA,NA,NA
220202,2/2/22,11:00:00 AM,5,19,H vs C,C vs H,58,95,31,117,T. gerstaeckeri,5,NA,2,0,0,0,NA,NA,1.61,45.72,113.3786848,175.26,21.4,21.7,21.55,53,57,55,21,23.2,22.1,54,65,59.5,NA,NA,NA,21.55,55,444,22.1,59.5,444,22.45,60.925,1,Chicken,NA,1,0,NA,0,0,4,0,0:07:01,1:00:00,0:04:50,290,328,0:05:28,L,NA,38.92,0,NA,Chicken,Chicken,38.92,0,38.92,0:00:38,0:00:00,0:00:38,1,NA,100,0,NA,NA,NA,NA,1,0,NA,NA,NA
220202,2/2/22,5:00:00 PM,10,22,H vs C,H vs C,60,93,31,117,T. gerstaeckeri,5,NA,NR,0,0,0,NA,NA,1.61,45.72,77.09750567,160.2,20.9,23.6,22.25,53,59,56,20,20.8,20.4,62,65,63.5,NA,NA,NA,20.4,63.5,534,22.25,56,493.5,22.7,60.13333333,1,Chicken,NA,1,0,NA,0,0,4,1,0:08:40,1:00:00,0:04:50,290,328,0:05:28,R,NA,144.68,66.19,NA,Both,Chicken,66.19,144.68,210.87,0:01:06,0:02:24,0:03:30,1,NA,68.61056666,31.38943334,NA,NA,NA,NA,1,0,NA,NA,NA
